ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label,P(Group_6)
iDR3.SPLUS-s25s32.027024,49.07942156618574,-32.145793352492376,0.43228385,0.32618278,1.484082,"[1.0857145,2.5829456,3.4763157,7.389866]",6.128943,2.0,7.4486346,18.436775,1.251885,21.295712,0.36173964,99.0,21.002748,26.43916,113.897415,20.800482,0.57051367,99.0,20.803356,22.416075,0.80658907,22.43878,1.9159007,21.7681,0.41263616,22.221596,21.66845,22.958664,1.2601167,21.658497,0.49773735,99.0,20.80942,20.73304,0.38424978,6,0.8714384793359407
iDR3.SPLUS-s25s32.027054,49.30524759991443,-32.145550816479286,0.00534531,0.16892874,1.2032663,"[1.708528,3.2155735,5.3032923,8.281481]",9.926859,10.0,7.5414963,18.133465,1.9368299,21.759483,0.978546,20.823093,0.6782922,99.0,20.432768,20.238943,0.59774566,21.459349,1.7966818,25.856813,33.728886,20.445852,0.5404608,20.704937,0.27344146,21.729128,20.679937,20.811577,0.3089507,20.106379,0.20907956,19.7493,0.32654577,19.640635,0.24597622,6,0.5241859122643235
iDR3.SPLUS-s25s32.027067,48.70017086882353,-32.143272018278225,0.00016039805,0.10796958,1.1210381,"[0.94798917,1.4976238,1.788766,2.1041045]",8.981998,16.0,6.5434303,18.127007,1.588952,22.481243,1.3162489,99.0,21.002748,99.0,20.432768,21.629639,1.5634869,99.0,20.803356,21.802168,0.5888813,99.0,21.03316,21.156376,0.29742903,21.239729,21.213444,21.219456,0.32299402,21.192423,0.41729358,20.085157,0.32658267,21.888271,1.4254442,6,0.6567193986290658
iDR3.SPLUS-s25s32.027088,49.31277256278681,-32.14433097788095,0.274062,0.13537043,1.1565647,"[1.3462527,3.5549731,6.5596995,7.5836725]",6.9763966,8.0,8.117701,18.003405,1.2639455,23.272232,2.8063831,99.0,21.002748,20.678997,0.72179323,21.342228,1.1754383,99.0,20.803356,27.226854,84.910675,99.0,21.03316,21.663149,0.47066143,22.10586,21.86118,21.82462,0.5591178,20.287287,0.1766165,20.471855,0.4528354,19.847784,0.21260169,6,0.5432203722737294
iDR3.SPLUS-s25s32.027162,48.596939445606736,-32.13969773995109,0.36013186,0.3161884,1.4623911,"[1.610843,3.5908556,5.9976134,7.6789665]",6.9384494,3.0,8.302385,18.401585,1.404818,99.0,21.589981,22.11344,1.4926672,99.0,20.432768,20.007936,0.35308003,21.204706,1.0341535,21.432507,0.4184285,20.8447,0.56749636,21.205788,0.3088698,21.324106,21.148994,21.522923,0.42319837,20.764814,0.2798998,19.937588,0.28183687,20.939163,0.588011,6,0.5893399201699918
iDR3.SPLUS-s25s32.027183,48.72444722942577,-32.13954034763491,0.010817773,0.112799406,1.1271409,"[,1.9043801,4.456512,7.206299,10.616147]",6.891171,37.0,6.805153,17.227114,2.6355743,99.0,21.589981,21.787537,1.9593252,99.0,20.432768,19.617064,0.42308566,23.36071,12.967278,21.139633,0.5502348,20.166487,0.5236969,20.037495,0.18274054,20.520597,19.901018,19.475779,0.112210475,18.952057,0.091794744,18.291704,0.10829212,18.38559,0.098048106,6,0.6246523666496764
iDR3.SPLUS-s25s32.027232,48.60730340827588,-32.1377697304215,0.33943942,0.39975393,1.6659833,"[1.3347235,2.9506853,4.7570705,8.631928]",4.946398,13.0,7.0625515,17.778734,1.9778103,22.278008,1.1836811,99.0,21.002748,21.379292,1.4428952,22.243765,3.062659,99.0,20.803356,21.272635,0.4033349,20.480713,0.45377156,21.09777,0.31219777,21.117624,21.024734,20.735731,0.229847,20.506027,0.24642436,20.499706,0.52663463,19.95073,0.2648242,6,0.813513098521291
iDR3.SPLUS-s25s32.027238,48.7172402850203,-32.13820015527283,0.42971554,0.2946943,1.4178249,"[1.006951,1.6159497,2.04913,2.6114724]",6.8431816,4.0,7.509624,18.467005,1.3644497,99.0,21.589981,22.030922,1.2584137,23.051506,5.4656515,99.0,20.54751,99.0,20.803356,99.0,21.97403,25.15214,26.373745,22.025019,0.5824366,22.17752,22.05583,22.175303,0.6848041,21.448334,0.4659705,20.299911,0.35120276,20.525488,0.35933557,6,0.9149662207909933
iDR3.SPLUS-s25s32.027298,49.06925608918558,-32.13781047704675,0.18595311,0.14743209,1.172927,"[1.2926325,2.2243075,4.301199,6.243624]",6.051254,4.0,6.8607507,18.411388,1.0990161,99.0,21.589981,25.19874,19.53971,99.0,20.432768,99.0,20.54751,99.0,20.803356,21.867165,0.44637373,21.017193,0.47661623,21.928406,0.43740922,22.106667,22.019777,22.085176,0.5174857,20.847507,0.2168099,22.265488,1.7257885,21.174343,0.5271589,6,0.7137661139408005
iDR3.SPLUS-s25s32.027392,49.68047908700333,-32.135435772862344,0.35676533,0.14705372,1.1724068,"[,1.7905129,4.1199117,5.810332,-1.8703907]",7.5414557,2.0,7.8497696,18.481148,1.3660887,22.525894,1.4706532,21.70195,1.1300161,21.093628,1.0983478,99.0,20.54751,99.0,20.803356,21.866323,0.6375841,24.07094,11.277617,20.895617,0.2431481,21.393867,20.71329,21.027378,0.28121117,21.059643,0.3745217,22.210037,2.3366706,20.120401,0.28499466,6,0.6031800580937148
iDR3.SPLUS-s25s32.027413,49.12411822965879,-32.13506132137505,0.42781615,0.071228564,1.0766912,"[1.319943,2.9978464,4.4154506,7.312387]",3.3491952,6.0,7.3216677,18.028267,1.243845,99.0,21.589981,99.0,21.002748,22.189833,2.60906,21.044619,0.8153599,99.0,20.803356,23.19901,1.8956045,20.345743,0.32219914,20.88199,0.2097849,21.391026,20.813993,20.871048,0.21313497,20.692097,0.23477256,20.524845,0.4364067,20.683403,0.4200763,6,0.8883478128709976
iDR3.SPLUS-s25s32.027422,49.97475421559104,-32.13359558257485,0.064334415,0.24564785,1.3256408,"[1.5542567,2.8732858,4.6965218,7.562238]",7.662841,9.0,7.4419217,18.150793,1.6800294,21.39124,0.5451466,20.648544,0.45202655,99.0,20.432768,23.054205,6.3728876,23.29877,7.821301,21.227093,0.3818378,20.449026,0.4351035,21.013952,0.28840503,21.511488,21.051146,20.612226,0.20485158,20.860563,0.33609152,99.0,20.80942,20.059532,0.2906509,6,0.5635693163105153
